Ma_mon_hoc,Diem_he_10
110000,5.5
110001,6.7
180050,4.8
190019,7.4
190027,6.9
190028,6.4
190030,7.5
220092,8.5
220228,6.7
410291,5.1
450015,6.2
110003,5.4
110006,6.6
110079,8.4
180051,6.4
220025,5.1
410292,5.7
420000,7
180052,8.4
220096,5.4
220097,9.6
220099,3.1
220100,5.8
220229,6.7
290000,7.8
410293,6.1
180001,8.5
220055,7.5
220060,7.3
220069,4.2
220101,6.3
220102,8.9
220103,6.4
220123,6.7
410294,7.9
110000,8.5
110001,9.4
180050,9.3
190019,6.4
190027,7.7
190028,8.4
190030,8
220092,8.4
220228,9.5
450015,7.4
110002,9.8
110003,7.7
110006,8.5
110079,7.4
180051,8.2
220025,7.3
420000,8.5
180052,8.4
220096,8.3
220097,8.9
220099,5.5
220100,7.7
220229,8.7
290000,7.8
180001,9
220055,7.7
220060,8.5
220069,8
220101,6.1
220102,9.8
220103,8.2
220123,8.9
180053,6.9
220059,7.3
220065,8.5
220094,8.1
220105,9.5
220109,8.4
220120,8.5
220124,8.5
220064,7.9
220067,7
220070,6.5
220071,8.9
220078,9
220086,8.2
220126,6.5
220133,8.3
220231,6.8
220232,8.8
160038,9
220115,8.1
110000,6.1
110001,8.3
180050,5.2
190019,5.8
190027,6.9
190028,7.5
190030,7
220092,8.7
220228,6.9
450015,6.5
110003,4.3
110006,5
110079,7.9
170011,7.7
180051,8.4
220025,4.8
410292,6.9
420000,7.4
180052,7.3
220096,5.9
220097,8.3
220099,3.8
220100,4.8
220229,7.2
290000,7.4
410293,5.3
180001,7
220055,8.3
220060,8
220069,4.9
220101,5.3
220102,9
220103,6.5
220123,4.4
410294,8.1
180053,5.2
220059,6.3
220065,8
220094,7.6
220105,9.4
220109,6.5
220120,8.5
220124,8
220064,8.2
220067,7.4
220070,4
220071,8.8
220078,7.4
220086,8.2
220126,6.5
220133,8.4
220231,6.3
220232,6.7
160038,9
220083,5.1
220230,7.8
